ORD_YMD,CENT_CD,ITEM_CD,ITEM_NM,SUM(A.CONV_QTY)
20250110,20075,123608,오츠카)소이조이후르츠&치즈30g,"1,872"
20250110,20075,123609,오츠카)소이조이마카다미아&레몬25g,"1,776"
20250110,20075,123629,G)LOOK초콜릿(네가지과일)44g,"10,400"
20250110,20075,123638,농심)후르츠텔라48g,"2,736"
20250110,20075,123642,삼경)필러즈미스터리큐브46g,"1,280"
20250110,20075,123724,크라운)산도밤티라미수161g,240
20250110,20079,123555,SAMG)위시캣발바닥모양캔디42g,80
20250110,20079,123557,SAMG)하츄핑의4D젤리42g,"1,680"
20250110,20079,123558,농심)츄파춥스오션믹스젤리60g,560
20250110,20079,123608,오츠카)소이조이후르츠&치즈30g,"1,728"
20250110,20079,123609,오츠카)소이조이마카다미아&레몬25g,"1,632"
20250110,20079,123629,G)LOOK초콜릿(네가지과일)44g,"6,400"
20250110,20079,123638,농심)후르츠텔라48g,"2,496"
20250110,20079,123642,삼경)필러즈미스터리큐브46g,"1,152"
20250110,20079,123724,크라운)산도밤티라미수161g,120
20250110,20080,123557,SAMG)하츄핑의4D젤리42g,"1,620"
20250110,20080,123558,농심)츄파춥스오션믹스젤리60g,400
20250110,20080,123608,오츠카)소이조이후르츠&치즈30g,"1,632"
20250110,20080,123609,오츠카)소이조이마카다미아&레몬25g,"1,584"
20250110,20080,123629,G)LOOK초콜릿(네가지과일)44g,"6,400"
20250110,20080,123638,농심)후르츠텔라48g,"2,448"
20250110,20080,123642,삼경)필러즈미스터리큐브46g,"1,152"
20250110,20080,123724,크라운)산도밤티라미수161g,420
20250110,20081,123557,SAMG)하츄핑의4D젤리42g,"1,800"
20250110,20081,123608,오츠카)소이조이후르츠&치즈30g,"1,776"
20250110,20081,123609,오츠카)소이조이마카다미아&레몬25g,"1,680"
20250110,20081,123629,G)LOOK초콜릿(네가지과일)44g,"8,800"
20250110,20081,123638,농심)후르츠텔라48g,"2,640"
20250110,20081,123642,삼경)필러즈미스터리큐브46g,"1,152"
20250110,20081,123724,크라운)산도밤티라미수161g,360
20250110,20083,123557,SAMG)하츄핑의4D젤리42g,"1,140"
20250110,20083,123608,오츠카)소이조이후르츠&치즈30g,"1,152"
20250110,20083,123609,오츠카)소이조이마카다미아&레몬25g,"1,104"
20250110,20083,123629,G)LOOK초콜릿(네가지과일)44g,"4,000"
20250110,20083,123638,농심)후르츠텔라48g,"1,728"
20250110,20083,123642,삼경)필러즈미스터리큐브46g,768
20250110,20083,123724,크라운)산도밤티라미수161g,156
20250110,20084,123557,SAMG)하츄핑의4D젤리42g,"1,020"
20250110,20084,123558,농심)츄파춥스오션믹스젤리60g,"1,040"
20250110,20084,123608,오츠카)소이조이후르츠&치즈30g,"1,056"
20250110,20084,123609,오츠카)소이조이마카다미아&레몬25g,"1,008"
20250110,20084,123629,G)LOOK초콜릿(네가지과일)44g,"6,400"
20250110,20084,123638,농심)후르츠텔라48g,"1,536"
20250110,20084,123642,삼경)필러즈미스터리큐브46g,768
20250110,20084,123724,크라운)산도밤티라미수161g,456
20250110,20085,123557,SAMG)하츄핑의4D젤리42g,"2,160"
20250110,20085,123608,오츠카)소이조이후르츠&치즈30g,"2,160"
20250110,20085,123609,오츠카)소이조이마카다미아&레몬25g,"2,064"
20250110,20085,123629,G)LOOK초콜릿(네가지과일)44g,"12,000"
20250110,20085,123638,농심)후르츠텔라48g,"3,168"
20250110,20085,123642,삼경)필러즈미스터리큐브46g,"1,408"
20250110,20085,123724,크라운)산도밤티라미수161g,360
20250110,20091,123557,SAMG)하츄핑의4D젤리42g,"1,920"
20250110,20091,123558,농심)츄파춥스오션믹스젤리60g,80
20250110,20091,123608,오츠카)소이조이후르츠&치즈30g,"1,920"
20250110,20091,123609,오츠카)소이조이마카다미아&레몬25g,"1,824"
20250110,20091,123629,G)LOOK초콜릿(네가지과일)44g,"14,400"
20250110,20091,123638,농심)후르츠텔라48g,"2,832"
20250110,20091,123642,삼경)필러즈미스터리큐브46g,"1,280"
20250110,20091,123724,크라운)산도밤티라미수161g,612
20250113,20007,123723,크라운)헬로키티스트로베리콘60g,368
20250113,20007,123724,크라운)산도밤티라미수161g,384
20250113,20010,123558,농심)츄파춥스오션믹스젤리60g,160
20250113,20010,123724,크라운)산도밤티라미수161g,288
20250113,20017,123555,SAMG)위시캣발바닥모양캔디42g,80
20250113,20017,123558,농심)츄파춥스오션믹스젤리60g,240
20250113,20017,123723,크라운)헬로키티스트로베리콘60g,688
20250113,20017,123724,크라운)산도밤티라미수161g,288
20250113,20033,123558,농심)츄파춥스오션믹스젤리60g,240
20250113,20033,123724,크라운)산도밤티라미수161g,120
20250113,20049,123724,크라운)산도밤티라미수161g,192
20250113,20050,123558,농심)츄파춥스오션믹스젤리60g,80
20250113,20050,123724,크라운)산도밤티라미수161g,456
20250113,20065,123555,SAMG)위시캣발바닥모양캔디42g,560
20250113,20065,123558,농심)츄파춥스오션믹스젤리60g,160
20250113,20065,123641,선우)O△□동결건조젤리13g,384
20250113,20065,123724,크라운)산도밤티라미수161g,240
20250113,20075,123555,SAMG)위시캣발바닥모양캔디42g,80
20250113,20075,123724,크라운)산도밤티라미수161g,192
20250113,20079,123724,크라운)산도밤티라미수161g,264
20250113,20080,123724,크라운)산도밤티라미수161g,300
20250113,20081,123555,SAMG)위시캣발바닥모양캔디42g,320
20250113,20081,123723,크라운)헬로키티스트로베리콘60g,"1,184"
20250113,20081,123724,크라운)산도밤티라미수161g,372
20250113,20083,123555,SAMG)위시캣발바닥모양캔디42g,80
20250113,20083,123558,농심)츄파춥스오션믹스젤리60g,320
20250113,20083,123641,선우)O△□동결건조젤리13g,128
20250113,20083,123724,크라운)산도밤티라미수161g,432
20250113,20084,123558,농심)츄파춥스오션믹스젤리60g,240
20250113,20084,123641,선우)O△□동결건조젤리13g,128
20250113,20084,123723,크라운)헬로키티스트로베리콘60g,544
20250113,20084,123724,크라운)산도밤티라미수161g,324
20250113,20085,123555,SAMG)위시캣발바닥모양캔디42g,80
20250113,20085,123558,농심)츄파춥스오션믹스젤리60g,400
20250113,20085,123723,크라운)헬로키티스트로베리콘60g,464
